name,sex,sign,content
冰萃摩卡,男,世界以痛吻我，我却报之以歌,鬼怪是16年的剧。想当初我还在上初一，在老姐手机上看到了预告片。我当时指着一身黑的李栋旭说：“这是哪个男人？这么帅！”[喜极而泣]当时还在上初一，我没有手机，每周周末回家都会缠着老姐把手机给我我好看鬼怪，那个时候鬼怪真的就是我除了作业以外最深的渴望。现在2020年了，都快4年过去了，看到up剪辑的鬼怪依旧是那么心动[tv_害羞]
悬崖上的垃姬,女,喜剪频 喜qq‖禁二改二传 软件pr‖别催 肝不行 ,排版调色都好美哦 每一帧都是封面吧
南韩醋王和他的金多情,保密,,这部剧简直就是韩剧史上的里程碑，至少说二十年之内不会被超越，经典的时代记忆，鬼怪的力量让人入戏之深，久久不能自拔
丘山明_,女,,"질량의 크기는 부피와 비례하지 않는다.$　　质量和体积不成正比。$　　제비꽃같은 조그마한 그 계집애가$　　那个如紫罗兰般小巧的丫头，$　　꽃잎같이 하늘거리는 그 계집애가$　　那个似花瓣般轻曳的丫头，$　　지구보다 더 큰 질량으로 나를 끌어당긴다.$　　以远超过地球的质量吸引着我。$　　순간, 나는$　　一瞬间，我$　　뉴턴의 사과처럼$　　如同牛顿的苹果一样，$　　사정없이 그녀에게로 굴러 떨어졌다.$　　不受控制地滚落在她脚下。$　　쿵 소리를 내며$　　咚的一声，$　　쿵쿵 소리를 내며$　　咚咚一声，$　　심장이 하늘에서 땅까지 아찔한 진자 운동을 계속하였다.$　　从天空到大地，心脏在持续着令人眩晕的摆动。$　　첫사랑이었다.$　　那是初恋。"
楠小兔iii,女,啥都吃一点～,剪的好好，鬼怪真的是我的人生剧了，每年冬天都要看一遍[大哭]
葡繁星,男,,女主不是韩国主流的惊艳，但绝对耐看
谨言___,女,我淹没在万人声响$,超级想问一句：哪里有这么高画质的资源？[呲牙]
肥崽星星,保密,学习减肥第一的女孩,我心里永远的top1，都不知道刷了多少次了
辞时有鎽,保密,bkpp,鬼怪是我到目前为止仍还喜欢的一部剧！！！
学习真快乐QAQ,女,,我心中的韩剧top1，一直没被超越过，从来不二刷剧的我，每年重刷一遍依然不腻。男女主都不是让人很惊艳的颜，核心主线也是典型的爱情剧，可以依然这么该死的甜美上头。
阳光笑的洛塔,保密,煮酒饮春风,一直在坑底！我爱鬼怪夫妇！也爱使者夫妇！
奶盖超甜aaa,保密,,绝了绝了全程壁纸
勝囍xixi,女,快快努力吧,冬天看鬼怪 春天也要看鬼怪 四季都要看鬼怪
秋涩啊,女,^_^,每年必追一遍，总之一句话这是我看过最棒的电视剧，也因为一个片段我爱上了加拿大
Rain陆清秋,保密,,少主的剪辑调色好好看！没看过鬼怪也有去看看的想法了
andvids与视跨境电商,女,,还记得我追鬼怪的时候是高三，每天作业还都没写，就熬夜在看。一回到学校第一件事情就是和小伙伴们讨论。而且那个时候我的手机里面有两百多张都是鬼怪的截图。当时看完结局之后念念不忘。每天必须靠着鬼怪的花絮和ost续命。这真是我这辈子最爱韩剧前三了！第一是机智的监狱生活，第二是请回答1988，第三是鬼怪！！！每年都要重温这三部感觉，现在再也看不到比这三部更好的电视剧了。
夏日友人赖账,保密,“越过垭口就是平原”,这部韩剧一直是我内心top1 其实这几年甜的韩剧数不胜数 但是像鬼怪这种会引发观众对生命和信仰的思考的韩剧真的是第一次见 另外制作团队的精心也特别加分 从画面配乐到服道化 每一帧都是画面 每一首OST都是回忆 每年冬天 去韩食店里点一盘炸鸡或部队火锅边吃边看 就算自己一个人也开心 我们都一样 孤单又灿烂。
卿颖归,女,女孩子有时候会喜欢上坏男人的,今天鬼怪上热搜了，阿加西和使者给恩卓应援我哭了
鸡爪大仙人,保密,最胖的超模,2020年初我去了魁北克！童话一样的地方！鬼怪女孩心心念念的地方！太美好了！
亦申的故事,女,LOFTER 微博同名$更许墨同人文 SA视频 生活vlog$希望我的那么多喜欢里，能再多一个你,2020刚入坑$一入坑就到了坑底$刷两遍了已经$真的太爱了$这部剧一下子粉上四个韩娱演员[害羞]
起风了卍,保密,,万人血书 b站买鬼怪（1/10000）
亓暮_,女,桃李春风一杯酒    江湖夜雨十年灯,孤独是我  灿烂因你
不灭的绚烂烟花,保密,,女主的悲伤被我留在心里了[笑哭][笑哭]
柚子苏打Suda,女,,小新娘歪着头笑着对大叔说“我喜欢你”的那一刹那，我就喜欢上小新娘了，那是第一次看鬼怪的时候，一瞬间，因为一个画面，喜欢上了这部剧
宋承皖一定会中大奖,女,成长中,视频和剧一样，做得精致温暖，少主更厉害了[打call]
啵啵奶盖o_O,女,我爱甜妹,鬼怪夫妇真的太甜了，我一个开始冲着死鬼来看剧的资深腐女最后还是站了官配。还有三年前追剧补物料的时候觉得花絮男女主互动太少，现在才知道男女主部分都在导演版DVD里，延迟磕糖唉
桃汁玫瑰挞,女,,看多少遍都忍不住心动的小甜剧鸭，鬼怪大叔霸气的一面，可爱的一面，小表情太生动啦，演技炸裂，为孔刘打call[喜欢][喜欢][喜欢]
娟娟睡着了,女,,首页通知书！太美了吧！我爱阿加西！
-煮雪-,女,我要考大学,这剧后劲真的大！我都以为我淡了，结果看完视频又爱上了剧情都还记得呜呜呜呜我第一次看很甜还可以第二次看上头了太甜了第三次看呜呜呜呜呜呜呜呜欧我要被甜晕了第四看我还是觉得超甜超甜超甜第五次看揪细节看的发现更甜了！！！！（我心里的白月光）
看海u,保密,,站现实cp
山人不需要睡觉,女,但渡无所苦，我自迎接汝。,아저씨 사랑해요[害羞][害羞][害羞]
牛奶皮卡,女,,鬼怪这部剧真的在我心里封神了 孔刘演出了灿烂而又孤单的神的感觉 金高银也演出了少女的俏皮和温暖 这部剧真的是韩剧里少有给人温暖力量的剧(对不起 我语文不好 不知道怎么表达 但大家应该都明白我的意思哈哈哈)[害羞]
爱喝水的巧克力星人,保密,,不管看了多少韩剧，鬼怪在我这里真的永远第一！！
苒禧ran,女,活着,2020.4.18 还在坑底。 一部参透爱与哲理的好剧，一群演技在线的好演员。[爱心]
想吃扭扭薯条,保密,小闪！卷西！扎叔！卷福！,我爱鬼怪！！有生之年想看鬼怪夫妇再合作！
世间皆苦呀,女,白白是最棒的,我对韩剧的印象还一直停留在鬼怪阶段。
谁的锅我不背,女,哈哈哈哈哈哈哈哈哈哈,地狱使者金宇彬:终究是我不配有姓名[嫌弃][酸了]（一jio踹翻狗粮并且骂骂咧咧地走开）
夜里问长安,女,,孔刘大叔太帅了，看釜山行就觉得他很帅，看了鬼怪我已经掉坑里了
有趣的晨曦啊,女,喜欢伏黛、影视区和动画区的故事剪辑up，运气有在慢慢变好吗，什么时候才能出现我上次停止时间时看到的30万？,一直听但不知道什么样的剧，知道看了他人即地狱才知道这部，准备……看[鼓掌]
李协的正式女友,女,飞盒玩家$男团女团博爱者$网易云电台:N.Flying一直到八十岁,哇想起那段时间整天看鬼怪 每天孔刘孔刘的[笑哭]好怀念 真的是很好的电视剧 能让人记得的电视剧
陪我饮酒吗,保密,杠精别来烦我,我发现我都不记得剧情了 罪过罪过
GDluna,保密,,一直在鬼怪坑里没出来，每看一次都还是会流泪：我投有一票，悲伤的爱情
再见普吉岛,保密,,还会出现剧情，演员，配乐，场景等等等等都这么对我口味的剧吗[大哭][大哭][大哭]
小小怪今天偷猪了嘛,保密,,我看韩剧就看大长今，同伊这种古装剧[喜极而泣]，后来高三，朋友告诉了我鬼怪这部剧，一看就陷进去了，天天等更新，同时期看了部申师任堂，然后其他的韩剧怎么都看不下去，哪怕题材再新颖，这部剧已经成了心中的白月光了。
EvenIsak--,女,杂食性追星女孩///,感觉往后的很多年还能一直看见鬼怪的剪辑呢！！真好啊，经典就是要一直火下去的呀
Leon_Fight,保密,,建议大佬以后加自己的水印之类的，不然这么好的作品被别人盗了真的太可惜
香蕉里个芭啦啦,保密,❌嘴臭&文化程度低的憨p,2020年了 又是一年冬春鬼怪时节[爱心]
超香脆米饼,保密,,我永远喜欢鬼怪，这个坑真的出不来。每次看完心里都会有一种强烈的持久的悲伤很久才缓过来，让我久久不能自拔。我爱极了里面的每一个角色每一句话每一个画面。鬼怪这部剧陪伴我们已经五年了，今后也要继续呆在鬼怪坑底啊[大哭][大哭][大哭]
姜亦初啊,女,孤独症,这部剧出来的时候我只是跟风看了开头和结尾，后来又看全部，又哭又笑，昨晚又二刷了，哭的稀里哗啦，鬼怪大概在我心里没有别的剧能超越的了，它是我唯一一部反复刷，看不厌的剧，每年冬天都会看清，每次看的时候就很幸福，怎么会有这么好看的剧呢，还好没有错过，大爱鬼怪，和鬼怪新娘，ost也是神仙作曲，听每一首都泛起鸡皮疙瘩，爱死
望舒kii,女,夜深知雪重，时闻折竹声,鬼怪真的超好看，金高银小姐姐真的很很很优秀啊!!!然后……啊啊啊啊啊啊啊啊啊啊啊表白我们家rap屁西歪啊啊啊啊啊啊啊啊
嘟噜噜ki,女,愿你为光。,最爱的一部，看的最多遍的一部，只要看到一个场景我就知道接下来会发生什么，甚至能接住台词。我真的太爱这部剧了。鬼怪永远灿烂。
senarera,保密,,鬼怪后劲太大了
旺仔特浓牛奶小馒头,女,生命在于学习，不要阻止我学习,感谢up，2020还有这么棒的鬼怪！
温翊珩,女,排球永远是积极向上的运动,我觉得是HE，恩倬最后变成小天使了和鬼怪永远的在一起了✧(≖ ◡ ≖✿)
罗百万好拽,女,监护人:康耀中$张艺兴是我全部的渴望与幻想$愿金智妮一生眉目舒展，平安喜乐$孔侑和金高银必须结婚,质量与体积不成正比，$那个紫罗兰一般小巧的丫头，$那个似花瓣一般轻曳的丫头，$以远超过地球的质量吸引着我，$咚地一声，咚咚一声，$一瞬间，我就如同牛顿的苹果般，$不受控制地滚落在她脚下，$从天空到大地，$心脏在持续着令人眩晕的摆动，$那是初恋。
房彬,女,祝你今天快乐。,时长恰好是5分21秒！！
安则归兮,保密,Ailv,2020_12_24，还在坑底
乔凉安,女,凭实力单身的钢铁直女,鬼怪是我看的第一部韩剧，目前为止没有能超越的，1988都不能
七分甜草啊,女,一起去啊  更远的地方,一六年到现在，我还在鬼怪坑底啊啊啊 真的心中韩剧top1 全剧没有废镜头，每一个剧情都让人回忆。
sherrimeng,保密,不疯魔不成活,2020年了，虽然也有很多短暂的心动，但是我还是觉得没有一部剧一对cp能超越鬼怪里的这对cp。阿加西不是一般意义上的帅，小新娘也不是一般意义上的美，真的太搭了！
禾木鬼,女,有了黑色才有白色，有了光明才有黑暗。$一个微不足道的新人，请多多关注。,这部剧严格的来说，男女主的颜值其实不是很高$但是我觉得比国产的好多了，两个人的气质都太绝了$剧情也相当的好啊！！！$直到现在我都走不出来，太美好了，有种说不出来的，朦胧的伤感的温柔的美丽。
罗千修,男,有一天晚上  梦一场  你白发苍苍说带我流浪,只有我一个男生看这个剧吗[笑哭]
俏俏不高兴,女,,2020了我还在这里
一个透子迷,保密,,唯一一部n刷的剧，入坑作
Leon_Fight,保密,,20200302就已经1.6w赞1.2w硬币1.3w收藏，剪的是真的好
易烊千玺的小螃蟹鸭,女,脚踏实地很俗气，可是我愿意,最爱的韩剧没有之一[星星眼][星星眼][星星眼]
334460045,保密,,帧帧美如画，最爱是鬼怪[热词系列_吹爆]
男朋友和上岸总得有个,女,整个人就很佛…,没想到2020年还有人搞鬼怪，太爱了集美们真的有眼光[鼓掌]
哆啦小布兜,保密,想成为哆啦A梦的四次元口袋，什么都可以变出来。。剪辑喜欢的人和事，只做超清1080p高质量剪辑，你的关注+点赞是我最大的动力哦～,up怎么剪的啊？出个教程。。
小雨兮兮vs,保密,,2021，我又来了[爱心]
边老师最喜欢的学生,女,越黑的夜里，星星越亮$爱丽一枚，本命啵啵，爱每一个温柔善良的人~❤️$希望全世界都能幸福，真的$写作是个人爱好！想写的话就会写，没有特定规律,2021.6.16打卡$不知道能说什么，但是鬼怪在我心里已经完全是任何作品都无法超越的神作了，我无法真正的表达出它对我的影响和意义。这么多年也看了这么多韩剧了，直到现在，只有提起《鬼怪》，我的眼前仿佛就瞬间闪过所有画面：阿加西，池恩倬，阴间使者…一幕幕，都在我心里封神了。就像现在，无论何时，我听着鬼怪的OST，心里就会不由自主的震一下，没办法，坑太深了，更何况它挖的是我的心[大哭]
初雪啦16,保密,,鬼怪是目前在我心中算得上封神的一部剧了！也许在专业的眼中还有缺点，但是故事，还有恩倬不但治愈了鬼怪，也在冬天温暖了治愈了我，过去5年了，从未忘记！每年冬天必刷！
他与月光为邻-清,女,不负春秋与寒夏,冬天最适合看的韩剧[打call][打call][打call]
shizuoshun,保密,其他不知道，但永远喜欢米津玄師这点绝对是真的,我永远爱鬼怪夫妇[大哭][大哭]
半夜爬起来看老婆,保密,看什么看，无币可投。,这部剧四对cp！！[妙啊][妙啊][妙啊]
柚子卡秃噜皮,保密,,事实证明还是缓存吧，隔三差五点进来蛮费流量的。[笑]
瓦厂匠人,女,,跨越千年的悲伤的爱情，每一次看都会想要流泪，因为耀眼
夏天爱吃薄荷糖,女,为爱发电，全平台统一昵称“夏天爱吃薄荷糖”，大家可以喊我“薄荷”。,又快到冬天了，该看鬼怪了
正在减肥中的小璐,保密,是一个不会剪视频只会瞎剪剪的人$微博：mrsbai$,冬天快要来了，又到了要看鬼怪的时候了
网那个卡,保密,他是那束光,我的韩剧TOP
三狂o崎时,保密,这个人懒死了，什么都写(&middot;_&middot;),鬼怪啊……$我其实很讨厌韩剧的，我同学极力推荐我去看鬼怪，我没办法想着意思一下，然后第二天他跟我说他终于看完第三集了，我说了句，怎么还没更新啊(当时更新到第六集[喜极而泣])
许知川,保密,人生苦短，及时行乐。,我又来啦，每天醒来能看到鬼怪，就会觉得，真的很幸福啊。今天第n刷的鬼怪结束了，是再一次的心动。
-鹿小曦-,女,2022届高考生！等我回来——,0202年了，还能刷到最爱的剧的剪辑[大哭][大哭]up太棒了呜呜呜
无限大人的小迷妹,保密,做的视频都是出于自己喜欢，没有什么水平，图个自己高兴。,今天第一次看鬼怪，真好看啊，言语已经无法表达我的激动心情
星光是你925,女,V.I.P一枚,韩剧粉，但是很少去回刷，7刷鬼怪，回忆啊
FuYaX,保密,,我要在鬼怪的坑中埋死，而且还想再往下掘个身份证号那么长(=・ω・=)
下雨天需要睡懒觉,男,,绝了。我之前看剧stay with me这首歌从来没有看过歌词，这样剪出来一看，说唱部分的歌词好动人我的天呐，而且男女两部分好像对应男女主角色一样。$“我的姻缘是你，我等待的是你，为什么是我先爱上你”，我要哭了这是什么神仙歌词而且还能押韵
miu_喵和汪全都要,女,有一只叫久久的肥狗＆miu仔的臭橘喵。觉得好玩就上传。,不像一些影视作品，靠歌拉红影片，也不是歌拖影片后腿。鬼怪是我觉得的歌和内容都各自很赞，加一起更赞更舒服的电视剧
iaqoeusenu,保密,:),2019年看的 现在又有新的产出了吗！棒 我真的哭惨
贪婪的王某某,保密,,池恩淖和赵以瑞就是一个天使一个魔女，但都好喜欢
桥爪美嘉-异地中,保密,来吧 拆穿吧我的爱,哭了过了三年还有太太产出，希望现实中快成一对吧！！！
阿叭叭阿叭叭叭,保密,热爱执着,真的是一到冬天就想看的剧呀。$希望今年冬天可以和你一起看。
不准偷西瓜,保密,,《鬼怪》永远作为最爱的韩剧在心底躺平[喜欢]
爱里里里里N,保密,,这应该是我后劲最大的一部韩剧了
樱翯07,女,2006年入韩圈至今$F(VALK)$SVT,2020了我还在磕鬼怪和小新娘
Chameleon罢了,女,为了不神秘我要写点什么,真的想永远停留在那个冬季[爱心]
wngstarhn,女,,看完你这剪辑，我又打算才去刷一遍
喵屿打渔呀,女,余生很长，何必慌张,这踩点太爱少主了，2020年了，我还在鬼怪坑里还没有出来[笑哭][笑哭][笑哭]
耐心的陆耳机,女,"Morty ,I'm a pickle,Pickle Rick！！！",每一个画面截图都是壁纸！！
简欧du,保密,把自己的剧本演好,2021.07.11还在坑底
逍遥sienna,女,心愿世界和平，咸鱼翻身,逃离不了鬼怪，因为鬼怪正在学韩语 感受到韩语的魅力사랑해
威猛的女孩儿,保密,,2021年高考完才完整的看完，真的是我的天花板[2233娘_第一]
STEHENCU,男,,2021$坑更深了，救我
世界怎么这么大,保密,智障可怕,我居然2021才看鬼怪！
北半球的小海苔,女,,好喜欢！又想再看一遍了呜呜
sun一笔画情,女,很丧,紫薯怪那里没有看   害怕[笑哭]
大华fafa,保密,,2021年了，我又回来了
MrR00000,女,to make everyday with fun,五分二十一秒521
不负众望啊-,保密,,2021啦还是好爱
shy楠,保密,平淡无奇,2021.2.2刚入坑，难以抗拒，蹲深坑里了[喜欢][喜欢][喜欢]
gingkoooo,保密,,2021－1－20我又回坑了
ToSleepN,保密,,2021了还在坑底😭😭😭
无垠030,保密,Starting brand new chapter from today at dawn. ,孔刘造型真好，演技也好[羞羞]
得道的大鹅,女,,啊啊啊啊啊啊又到了看鬼怪的季节！
梅溪湖的搞云豆砸,女,航行在翻滚的无边草原，谁能够停泊,准备在坑里立牌位了
是个个秃头,女,给爷爪巴！,绝对心动💓
定格那抹阳光,女,,鬼怪的冬日限定感绝了😭😭❤️🧣
小胖立刻娶我就现在,女,嫩叠我最看不惯网络教育者和太平洋警察,我还记得，鬼怪播出的时候，我是高二，当时追剧追得狠，凌晨偷偷拿我妈的手机在被窝看，看到3点多然后5点半起床[doge]
零度无甜可乐,保密,可乐不加冰,连时间都是521[doge]
伶俜_LinPing,女,零碎的岛屿终会找到海，慢慢亦漫漫。,2021了我还在磕鬼怪，可太爱了
良人未归懵了,保密,输得时候说什么都像是借口,质量与体积不成正比，那个紫罗兰一般小巧的丫头，那个似花瓣一般轻曳的丫头，以远超过地球的质量吸引着我，咚地一声，咚咚一声，一瞬间，我就如同牛顿的苹果般，不受控制地滚落在她脚下，从天空到大地，心脏在持续着令人眩晕的摆动，那是初恋。
天团茶蛋的小仙女,保密,本命EXO，唯粉EXO，全世界最好的EXO(ฅ>ω<*ฅ),up主太棒啦！！！！！剪的非常好！！！！画质很棒的！！！！超级爱鬼怪夫妇啊啊啊啊啊
朵拉艾孟吖,女,  ,孤单又灿烂/[爱心][爱心][爱心]
lianttlvlv,女,追剧女孩,up主太厉害了
霜夜枕书白,保密,朝酒辞歌君一诺,天气冷了，鬼怪又要回来啦[爱心]
SoCale,保密,,众姐妹们看到孔刘都是想和他一起，是不是只有我以他为榜样，想变成他那么帅的样子呢？
纪尹樊子,女,,神仙up[热词系列_爱了爱了]
女明星也疯狂,女,智慧少女不秃头,太可了
食べないの,女,ENFP,아저씨明明也会不安和害怕，但为什么会让我这么有安全感呢[拥抱]
llklkl,女,,我为什么今天才发现这位宝藏up主
坚果姑娘亲妈,保密,阿巴阿巴,绝了，up主剪的好好啊[大哭][大哭][大哭]
咖啡不够黑,男,原来你在这里。,我会迎着初雪，踏着七彩祥云来熏你！[星星眼]
cp成真,保密,,我……现在卑微的只求……没公开之前有一部合作[跪了]对两人在一起，还是抱有希望的等着
Xy-dy,女,,永远的心动
霍格沃茨首席魔法师,女,冗长一生，寥寥钟情。,看剪辑都能哭的我……太爱了。$这部剧给我的感觉是带着点点悲伤的温柔，又有轻松的搞笑
小岛西岸的气泡水,女,。,2020年7月12日，我还在鬼怪这部剧的坑里，依然会为鬼怪这部剧心动。
不想洗澡的阿汪喵,保密,岂非飘零久，日夜不相逢。,啊啊啊啊啊啊永远为鬼怪打call！！！！[热词系列_吹爆][热词系列_三连]
人间笙歌歌歌,保密,他是奔跑在人间的另一个月亮。,姐妹调色好好看，心动了
许知川,保密,人生苦短，及时行乐。,在n刷了！！！第一次看还是17年夏天，那时候才初一。是我看过的所有电视剧里的第一！
吴小虾Viven,女,俗人一枚，涉猎甚杂，好美景美色，有趣第一。$$所爱之人甚多，皆秀。,我又看了一遍，我太爱这部剧了，鬼怪[爱心]
Charon-___,女,想把最近灰色的日子镀一镀金,下一个冬天，我一定要在初雪那一天重新打开鬼怪。
Sunny-amber,保密,神秘,我太爱鬼怪了
蜂蜜柚子茶呐,保密,嘿，你好~ ,鬼怪每年冬天必看，永远的top1
笑嘻嘻的小北方,女,,2020年了我还在
嗯呐好嘞,保密,,每一幕都是壁纸呢
Sunny-amber,保密,神秘,2020.5.11了！我还在坑底！
毛茸茸de小尾巴,女,可可爱爱没有脑袋,后劲太大了，看完结局我真的无比惆怅，就很意难平……如果是阴阳两隔的虐或者结婚的甜甜甜我都能接受，但转世重逢这个悲剧内核的HE我难过得不得了
星光hun,保密,,2020了，还在看鬼怪
吃几碗要你管_,女,人类高质量女性,鬼怪真的是我入坑韩剧的第一部韩剧！太心动了[星星眼] ost和剧本都很可！都……都…给老子……看这部韩剧！[打call][打call][打call]
辰星_첸,女,经不住似水流年，逃不过此间少年。,2020了 我还没出来[大哭]
七七月份,保密,稿件重置中————,滤镜色调还有字幕做得太好看了啊！！
小橘子呀吼,女,My tie is blue and i love you,明天晚上和我妈一起看啦，陪她再看一遍[打call][打call][打call]
Nalysia米粒,保密,2 ! 3 ! 방탄 ! 为弹来的去收藏夹『已整理,永远的最爱，永远记得2016那个冬天
神厨小鼹鼠,女,小鼹鼠要做最美味的视频故事！爱吃就留个饭钱，再夸两句厨子；D,排版妖精！！！这个歌词的排版我吹爆！！！！！
花米Mi,女,颜控一枚  墙头一堆  涉猎广泛   英、美、韩剧、各类电影（惊悚恐怖片勿扰）、美食 、漫威都是我的菜  小白UP主  快乐学习做视频,UP主的调色好绝  每一幅截图都是壁纸[打call]
未曾彡拥有,男,未曾拥有何谈失去 向来缘浅奈何情深,这个剪的太好了
抱起我炸就跑,女,,这剪辑绝啦啦啦，好好看
盛夏的方程式sun,女, 莱格拉斯 TL AL,孔刘为什么越长大越好看！我觉得比咖啡王子时候好看
是南fairy呀,女,我不懒der~                         一个手帐er的挣扎…,完了出不去了，2020年才发现的白月光啊
是我是牛轰轰,女,美好的东西就是拿来喜欢的鸭。,调色太绝了我要夸两遍
是我是牛轰轰,女,美好的东西就是拿来喜欢的鸭。,Bgm出来的瞬间我就认输了啊
啊你是猛男啊,女,三师公我老公,少主nb
帅气靓仔茗阿璟,保密,誓死不吃刀！！！xz必糊$主欧美/锤基本命入所有/古风/bl我的爱/搞竞/翻墙头爱好者/磕cp学家/喜欢好看的人/破画画的（这是自我介绍吗）,不管过了多久鬼怪都是我心里韩剧top1[大哭]我是真的太喜欢了  疯狂落泪
林遥远,保密,,时长是521欸[星星眼]
赵璀璨小姐姐,女,享受生活的每一天,快十年不看韩剧的我，直接被孔先生击中，在刷了三遍后，开始学韩语……所以，爱情的力量多大啊，虽然我爱他他不知道，但我相信总有一天，我能抱着他说一句，我爱你[喜欢][喜欢]
我去啥名字都想过了,保密,,哭了哭了……
榛果拿铁要加糖,女,,鬼怪永远是我心中的NO.1，无论刷多少遍听到前奏还是能泪目
偶尔吃肉的晨子,女,身懒+心懒=超级无敌大懒人 $爱吃+能吃=不折不扣大吃货 $,这部剧真是每一帧都可以做个大片封面
萝卜糖小尼,女,两方世界山河共，一纸内外烟火同,死在鬼怪坑底了，这辈子也不想出坑
Poppy_1,女,猝然临之而不惊，无故加之而不怒,看这么久韩剧 第一次买周边荞麦君的也就只有这部剧了
我是个小白skr,保密,,几乎不看韩剧，但看完视频竟然又想看的冲动[囧]
张张会努力的,女, 乖乖听话，乖乖长大$,真心，真的真的真的特好看!!!!!
小小wh,保密,,突然想到，要是这剧本放国内根本不可能去拍，因为涉及早恋[笑]
水温问,女,dream ,时间是5：21[热词系列_爱了爱了]
徐寒烟,保密,,以三连，色调太好看
笑笑机,保密,,这片镜头真是拍得又美又心动。
kikiz哇,保密,非酋首领,又刷了一遍[大哭][大哭]白月光啊
非正常头骨,女,肥仔biu,白嫖失败
非正常头骨,女,肥仔biu,鬼怪真的让我忘不了 最爱的韩剧没有之一
KremTy,保密,滴滴滴滴嘟嘟嘟嘟,明年都一定要刷
肖兔兔的炭烤兔爪,保密,五年为期。,我又开始刷鬼怪了
欢脱小晨,女,我还年轻，偏要折腾,那一年我高一，现在大一了。没想到还有人剪这部剧，太感动了
KO大角牛,男,坚持****不动摇(话说she hui zhu yi ?为啥会不能显现),2020了鬼怪和小新娘依然让我心动
今天晴不晴,保密,,看完了这个剪辑我就去看鬼怪了
最后一口吃橙子,女,随便剪,我有鬼怪1080！！复制这段内容后打开百度网盘手机App，操作更方便哦 链接:http://t.cn/A6PFIET5 提取码:ccz5  都给我康起来！！
coco可可乐乐,女,.,啊啊啊！！一直都喜欢鬼怪，阿加西和他的新娘，男二和女二的颜值我也🉑（里面的插曲全都好听到爆[惊喜][鼓掌]）
某个章,女,跌入红尘,首页通知书！给鬼怪排面！
Robatomb,保密,,很久以前看过一遍，都忘了，最近重新看。这部剧台词很幽默，可是为什么我觉得很悲伤。
小松婷婷子,保密,(ﾟoﾟ;,鬼怪夫妇！好配啊啊啊啊
